year,group_label,Before_Tax_Income,Net_Worth,Retirement_Accounts,Transaction_Accounts,Debt,Education_Installment_Loans,Credit_Card_Balances
2016,Less than 35,49.972237,13.56708,14.825118,3.1450958,48.101467,22.817362,1.7267193
2016,35-44,81.204887,73.63224,45.634724,4.6868095,115.56686,24.790756,3.0834272
2016,45-54,86.20211,152.98734,101.13641,5.0087194,111.00338,24.667418,3.4534385
2016,55-64,74.958359,231.01038,148.00452,6.6232018,85.102592,22.200676,3.4534385
2016,65-74,62.090504,276.27509,155.65141,9.8669672,51.308231,20.967306,3.0834272
2016,75 or older,48.722931,326.53494,148.00452,12.333709,25.777452,4.8101463,2.5900788
2019,Less than 35,56.651878,16.228874,15.069669,3.7558253,52.141056,25.502516,2.2024901
2019,35-44,84.977821,105.6094,69.552315,5.459857,148.40146,24.343311,3.1298542
2019,45-54,90.879059,195.67386,115.92053,7.4189138,125.19418,28.980133,3.7094569
2019,55-64,73.175346,247.08461,155.33351,6.5170522,71.291122,27.820927,3.4776158
2019,65-74,57.832127,308.42975,190.10966,9.2736425,46.368214,16.228874,3.303735
2019,75 or older,50.691631,295.48145,96.214043,10.780609,33.616955,15.069669,3.1298542
2022,Less than 35,60.531063,39.040001,18.879999,5.4000001,42.709999,18.0,1.7
2022,35-44,86.472946,135.3,45.0,7.5,140.38,25.0,2.9000001
2022,45-54,91.877502,246.7,115.0,8.6999998,140.3,30.0,3.0
2022,55-64,82.1493,364.26999,185.0,8.0,90.0,41.0,3.5
2022,65-74,60.531063,410.0,200.0,13.4,45.0,39.0,3.5
2022,75 or older,49.073399,334.70001,130.0,10.0,36.0,25.0,1.7
2004,No high school diploma,30.650921,32.368259,19.483807,1.7284021,18.855297,7.8563733,1.8855296
2004,High school diploma,56.462223,107.47519,31.425493,3.9596121,48.709515,7.8563733,2.9869931
2004,Some college,69.367874,124.31925,37.710594,4.7138243,81.077774,10.684668,3.4568043
2004,College degree,124.2169,423.61566,113.13177,15.712747,183.83914,23.56912,4.5409837
2007,No high school diploma,32.376328,47.366123,21.46501,1.7315108,27.475212,8.5860043,2.1465011
2007,High school diploma,52.979446,115.19555,41.49902,3.5775015,57.240025,8.8722038,3.2913015
2007,Some college,67.695961,139.25067,51.516022,4.5792022,85.860039,15.741007,4.0068016
2007,College degree,122.14706,463.93042,114.48005,16.456507,199.62459,28.620012,7.1550031
2010,No high school diploma,31.922314,22.262423,22.262423,1.0926342,23.628214,9.2873907,1.9121099
2010,High school diploma,49.965359,77.440453,34.144817,2.7315855,58.729088,10.926342,2.8681648
2010,Some college,62.456699,77.850189,40.973782,3.8242197,81.947563,16.389513,3.2779026
2010,College degree,109.64621,338.621,122.92135,15.023721,196.67416,27.315855,5.7363296
2013,No high school diploma,28.426228,22.083652,17.819662,0.94189644,22.134567,10.819081,1.616498
2013,High school diploma,46.515644,66.696449,42.258057,2.545666,44.931007,12.728331,2.2783711
2013,Some college,55.560352,64.150787,52.186153,3.8184991,61.095985,17.437813,2.8002326
2013,College degree,111.1207,352.57474,133.64748,17.692379,166.74113,29.27516,4.4549155
2016,No high school diploma,32.481953,28.145525,44.401352,1.147035,19.733934,12.333709,1.6033822
2016,High school diploma,49.972237,82.635849,44.401352,2.5900788,44.278015,14.800451,2.4667418
2016,Some college,58.717381,81.451813,41.934612,4.3167982,53.651634,18.870575,2.4667418
2016,College degree,113.68684,360.27997,144.3044,18.500565,150.47125,37.001129,4.5634723
2019,No high school diploma,35.407425,24.088285,23.184107,1.1823894,19.59057,13.910463,1.3910464
2019,High school diploma,53.111137,85.653679,46.368214,2.8980134,38.427654,16.228874,2.3184106
2019,Some college,59.012375,103.49385,47.527416,4.5209007,52.164238,18.199524,3.1298542
2019,College degree,110.94327,357.96259,137.94543,17.852921,161.12953,40.572186,4.1731391
2022,No high school diploma,32.427353,38.049999,50.0,0.89999998,17.0,8.0,1.3
2022,High school diploma,52.96468,107.0,44.0,3.03,45.900002,20.0,2.0
2022,Some college,60.531063,137.041,53.0,5.1999998,53.080002,16.0,3.0
2022,College degree,117.81939,464.39999,141.7,23.370001,165.75999,32.0,3.27
2004,Less than 20,17.74527,11.658858,7.8563733,0.94276482,10.998922,10.213285,1.5712746
2004,20-39.9,40.330158,54.004711,15.712747,2.3569121,25.91032,15.712747,2.8282945
2004,40-59.9,67.754669,113.84042,26.71167,4.7138243,69.45034,15.712747,3.3939533
2004,60-79.9,106.47163,251.40395,50.280788,10.087584,144.24301,13.355835,4.7138243
2004,80-89.9,164.54706,493.38025,113.13177,17.284021,213.69336,16.341257,4.2424417
2004,90-100,290.37717,1454.2147,290.68582,43.995689,328.39642,15.712747,6.2850986
2007,Less than 20,17.659817,12.578496,9.3015041,1.1448005,12.449706,12.449706,1.4310007
2007,20-39.9,41.206238,54.091824,17.172009,2.2896011,25.758011,14.310006,2.5758011
2007,40-59.9,67.695961,126.50046,34.344017,3.9352517,79.992935,14.310006,3.4487116
2007,60-79.9,107.43055,292.92584,68.688034,8.5860043,159.69968,24.327011,5.7240028
2007,80-89.9,163.3533,511.58273,131.65205,18.603008,260.29901,17.172009,7.8705034
2007,90-100,295.80191,1602.8639,287.63113,51.086723,336.85754,23.182211,10.145795
2010,Less than 20,18.043047,8.2767038,10.926342,0.88776529,13.657928,12.292135,1.502372
2010,20-39.9,38.861946,37.832458,15.023721,2.0486891,27.589014,12.292135,2.0486891
2010,40-59.9,62.456699,88.680923,31.413233,3.8242197,83.313354,19.121099,2.8681648
2010,60-79.9,97.154869,173.59225,49.346092,7.2387018,146.13983,16.799252,4.2339578
2010,80-89.9,154.05986,394.6185,120.18977,15.023721,223.71686,27.315855,8.058177
2010,90-100,280.36118,1625.2933,378.32458,47.802746,364.93982,34.144817,10.380025
2013,Less than 20,18.089417,7.8915648,6.618732,0.76369983,13.746597,15.273996,1.272833
2013,20-39.9,36.178833,27.36591,16.546829,1.8201512,26.729494,19.092495,1.7183247
2013,40-59.9,59.436657,78.661079,31.820826,3.8184991,50.913322,19.092495,2.6729493
2013,60-79.9,96.907593,202.0126,64.914482,8.6552649,126.64689,21.892729,3.8184991
2013,80-89.9,155.05214,379.81339,134.02931,16.928679,229.10995,24.183828,5.7277489
2013,90-100,292.01486,1444.0291,358.9389,64.914482,343.66492,34.366493,4.8367658
2016,Less than 20,18.73959,8.1402483,9.1269445,0.74002254,12.765388,18.500565,0.98669672
2016,20-39.9,38.728485,38.851185,20.967306,1.9733934,28.712875,24.667418,2.0967305
2016,40-59.9,64.963905,101.01308,30.834272,4.6868095,52.171589,22.200676,2.4667418
2016,60-79.9,106.191,206.30595,62.901917,10.113642,127.0372,24.667418,3.7001128
2016,80-89.9,168.6563,480.64465,164.03833,23.064035,210.04306,25.900789,5.9201803
2016,90-100,321.07162,2022.1733,497.04971,76.468994,368.77789,40.701241,7.4002256
2019,Less than 20,18.883961,10.780609,15.069669,0.93895632,11.418172,17.388079,1.2751259
2019,20-39.9,41.308662,50.773193,19.70649,2.3763709,28.980133,27.820927,2.2024901
2019,40-59.9,68.454353,110.84321,32.457748,5.0019708,55.989616,25.154755,2.7820928
2019,60-79.9,110.94327,237.86893,69.552315,11.592053,130.17876,28.284609,4.1731391
2019,80-89.9,175.85687,449.59778,155.33351,23.184107,232.30475,32.457748,5.7960267
2019,90-100,336.37054,1842.325,533.23444,81.144371,355.05298,25.502516,6.9552317
2022,Less than 20,20.537325,16.9,17.5,0.89999998,10.52,15.0,1.4
2022,20-39.9,43.236473,58.550999,20.0,2.55,25.200001,20.0,1.6
2022,40-59.9,70.25927,169.42,39.0,7.4000001,64.900002,24.0,2.5
2022,60-79.9,115.65756,300.79999,74.199997,15.76,147.0,25.0,3.5
2022,80-89.9,189.15958,793.12,200.0,33.799999,214.0,40.0,5.0
2022,90-100,390.20917,2649.0,558.59998,111.6,375.0,50.0,6.0
2004,"White, non-Hispanic",77.433907,221.50259,64.422264,7.8563733,109.12503,15.712747,3.9281867
2004,"Black, non-Hispanic",43.556572,32.054005,23.56912,1.8855296,47.138241,13.355835,2.1997845
2004,Hispanic,43.556572,24.103354,23.56912,2.3569121,42.424416,7.8563733,2.7025924
2004,Other,70.981079,111.40337,50.280788,4.7138243,59.708439,7.8563733,4.0853143
2007,"White, non-Hispanic",74.406693,245.44524,75.843033,7.2981033,109.04225,18.603008,4.722302
2007,"Black, non-Hispanic",44.14954,30.051014,37.206017,2.2896011,43.502419,13.165206,2.8620014
2007,Hispanic,51.507797,30.194115,24.327011,2.8620014,76.415436,14.310006,3.6776717
2007,Other,73.582565,87.147942,45.21962,4.722302,74.698235,14.310006,3.5775015
2010,"White, non-Hispanic",72.172188,177.21161,73.752808,6.8289638,115.54607,18.028465,4.2339578
2010,"Black, non-Hispanic",41.637802,21.716105,24.58427,1.9803995,42.476154,17.755306,2.5950062
2010,Hispanic,47.189507,22.60387,24.58427,1.71407,41.929836,15.023721,2.1852684
2010,Other,58.292919,58.319351,53.265919,3.4144819,94.2397,15.023721,2.9774282
2013,"White, non-Hispanic",71.065567,180.61501,96.735313,7.7642817,104.62688,22.910995,3.4366493
2013,"Black, non-Hispanic",40.055138,16.648657,24.183828,1.5655847,33.093658,19.092495,1.8456079
2013,Hispanic,41.34724,17.565096,20.492613,1.5273997,31.820826,16.546829,2.0365329
2013,Other,51.684048,52.135242,55.368237,3.5639324,54.731819,20.365328,2.545666
2016,"White, non-Hispanic",74.958359,210.90643,94.969559,8.6964979,91.41745,23.557384,3.3301015
2016,"Black, non-Hispanic",43.725708,21.152311,30.464262,1.7267193,38.690845,24.667418,1.6897181
2016,Hispanic,47.473625,25.555445,28.367531,1.8500564,37.001129,22.200676,2.0967305
2016,Other,62.465298,79.700432,64.135284,4.9334836,69.808792,23.434048,2.923089
2019,"White, non-Hispanic",80.256828,219.20572,92.736427,9.5054836,91.577217,26.661722,3.7094569
2019,"Black, non-Hispanic",47.2099,27.936848,40.572186,1.744604,31.878145,34.776157,1.5069668
2019,Hispanic,47.2099,41.789352,35.935364,2.2604504,46.368214,20.402014,2.2024901
2019,Other,64.913612,86.360794,54.482651,5.7960267,82.303574,22.0249,2.7820928
2022,"White, non-Hispanic",81.06839,284.31,100.0,12.0,93.900002,25.0,3.0
2022,"Black, non-Hispanic",46.47921,44.099998,39.0,2.1099999,44.900002,26.0,1.7
2022,Hispanic,46.47921,62.119999,55.599998,2.0999999,39.900002,13.0,1.7
2022,Other,68.097443,132.2,60.0,6.0,84.199997,25.0,2.97
